,Sys no.,Link,Title,Subject: 650 field only,Questions,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Best Bets
LA,1361790,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1361790",MathSciNet,Mathematics--Indexes.,,Mathematics and Applied Mathematics,,,,,
LA,1399810,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1399810",Project Muse :,,,Multidisciplinary,,,,,
LA,1475857,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1475857",World news connection.,"World politics--1989---Information services.;History, Modern--1989---Information services.;Foreign news--United States--Information services.",,Political Science,,,,,
LA,1516283,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1516283",Periodicals index online,Periodicals--Indexes.;Arts--Periodicals--Indexes.;Humanities--Periodicals--Indexes.;Social sciences--Periodicals--Indexes.,,Multidisciplinary,,,,,
LA,1517508,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1517508",JSTOR.,Humanities--Periodicals--Databases.;Humanities--Periodicals--Indexes.;Social sciences--Periodicals--Indexes.;Social sciences--Periodicals--Databases.;Mathematics--Periodicals--Databases.;Mathematics--Periodicals--Indexes--Indexes.;Science--Periodicals--Indexes.;Science--Periodicals--Databases.;Scholarly periodicals--Databases.;Scholarly periodicals--Indexes.,,Multidisciplinary,,,,,
LA,1530706,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1530706",EconLit,Economics--Periodicals--Databases.;Economics--Book reviews--Periodicals--Databases.,,Economics,,,,,
LA,1533429,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1533429",Expanded academic ASAP,Astronomy--Indexes.;Religion--Indexes.;Law--Indexes.;History--Indexes.;Psychology--Indexes.;Humanities--Indexes.;Sociology--Indexes.;Mass media--Indexes.;Science--Indexes.;Periodicals--Indexes.,,Multidisciplinary,,,,,
LA,1547312,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1547312",HAPI online.,Hispanic Americans--Indexes--Databases.;Hispanic Americans--Periodicals--Indexes.,,"Latin American, Iberian, and Latino Studies",,,,,
LA,1555710,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1555710",ABI/INFORM Global.,Business--Periodicals--Indexes.;Business--Abstracts.;Management--Periodicals--Indexes.;Management--Abstracts.;Industrial management--Periodicals--Indexes.;Industrial management--Abstracts.,,Business,,,,,
LA,1560282,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1560282",ProQuest congressional publications.,Law--United States--Indexes--Databases.;Legislation--United States--Indexes--Databases.;Government publications--United States--Indexes--Databases.,,Political Science,,,,,
LA,1564115,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1564115",Review of medical and veterinary entomology,Veterinary entomology--Abstracts--Periodicals.;Insects as carriers of disease--Abstracts--Periodicals.,,"Biology, Environmental Sciences, and Medicine",,,,,
LA,1564495,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1564495",Ciao :,International relations--Databases.;World politics--1989---Databases.,,Political Science,,,,,
LA,1569372,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1569372",Education full text,Education--Indexes.;Education--Abstracts.,,Education,,,,,
LA,1576205,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1576205",Association of Research Libraries digital collection of Mexican and Argentine presidential messages,Presidents--Mexico--Messages.;Presidents--Argentina--Messages.,,"Latin American, Iberian, and Latino Studies",,,,,
LA,1582384,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1582384",The index of Medieval art.,"Art, Medieval--Catalogs.;Christian art and symbolism--To 500--Catalogs.;Christian art and symbolism--Medieval, 500-1500--Catalogs.;Art, Byzantine--Catalogs.",,"Art, Art History, and Design",Medieval Studies,,,,
LA,1583056,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1583056",Patrologia Latina,"Fathers of the church, Latin.;Christian literature, Early--Latin authors.",,Classics,Theology and Religion,,,,
LA,1583064,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1583064",Bibliography of Asian studies.,,,"East Asian (Chinese, Japanese, and Korean) Studies",,,,,
LA,1587557,"https://onesearch.library.nd.edu/primo-explore/search?tab=nd_campus&search_scope=nd_campus&vid=NDU&lang=en_US&offset=0&query=any,contains,1587557",Nexis Uni.,Business--Databases.;Law--Databases.;Newspapers--Databases.,,Multidisciplinary,,,,,
